"date","IPI"
"1989-06",70.26553
"1989-07",69.70351
"1989-08",69.82334
"1989-09",70.01177
"1989-10",69.16547
"1989-11",69.8755
"1989-12",70.64333
"1990-01",69.05504
"1990-02",69.41452
"1990-03",69.75332
"1990-04",69.21857
"1990-05",69.36565
"1990-06",69.46809
"1990-07",69.53152
"1990-08",68.47423
"1990-09",67.27831
"1990-10",67.31026
"1990-11",66.54478
"1990-12",66.01144
"1991-01",66.34883
"1991-02",65.19614
"1991-03",65.24126
"1991-04",65.27744
"1991-05",65.76661
"1991-06",66.10589
"1991-07",66.28821
"1991-08",66.20128
"1991-09",66.47054
"1991-10",66.18201
"1991-11",65.84602
"1991-12",65.14915
"1992-01",66.06548
"1992-02",66.00016
"1992-03",65.94518
"1992-04",66.54666
"1992-05",66.20128
"1992-06",66.43764
"1992-07",65.77695
"1992-08",66.22477
"1992-09",66.59365
"1992-10",67.39391
"1992-11",67.57201
"1992-12",67.73083
"1993-01",67.85677
"1993-02",68.84405
"1993-03",69.54797
"1993-04",69.23595
"1993-05",68.87365
"1993-06",69.26508
"1993-07",68.81397
"1993-08",69.74722
"1993-09",70.65226
"1993-10",70.67105
"1993-11",70.87218
"1993-12",70.24155
"1994-01",70.97133
"1994-02",71.16681
"1994-03",72.15503
"1994-04",72.66065
"1994-05",73.35706
"1994-06",74.30956
"1994-07",74.29218
"1994-08",74.94018
"1994-09",75.59383
"1994-10",75.34007
"1994-11",76.23196
"1994-12",77.42553
"1995-01",78.25197
"1995-02",78.26175
"1995-03",77.70402
"1995-04",77.53743
"1995-05",77.4592
"1995-06",77.31723
"1995-07",77.07277
"1995-08",77.24371
"1995-09",76.99925
"1995-10",76.96014
"1995-11",77.15571
"1995-12",76.79355
"1996-01",77.5425
"1996-02",77.52294
"1996-03",77.03366
"1996-04",77.4248
"1996-05",77.81629
"1996-06",78.00715
"1996-07",78.79993
"1996-08",79.06901
"1996-09",79.04945
"1996-10",78.79993
"1996-11",80.03308
"1996-12",78.69707
"1997-01",80.63586
"1997-02",81.5238
"1997-03",81.03475
"1997-04",82.1517
"1997-05",82.28466
"1997-06",81.59015
"1997-07",83.61321
"1997-08",83.42889
"1997-09",83.29298
"1997-10",84.26839
"1997-11",84.36899
"1997-12",84.64428
"1998-01",84.022
"1998-02",85.05681
"1998-03",85.89471
"1998-04",85.51804
"1998-05",84.83503
"1998-06",84.78286
"1998-07",83.45911
"1998-08",85.60257
"1998-09",85.84602
"1998-10",86.01992
"1998-11",86.26204
"1998-12",87.62858
"1999-01",88.60587
"1999-02",88.52187
"1999-03",88.19093
"1999-04",88.72947
"1999-05",88.56413
"1999-06",89.77979
"1999-07",90.29025
"1999-08",91.1517
"1999-09",92.36468
"1999-10",91.85102
"1999-11",93.02842
"1999-12",94.47871
"2000-01",94.84121
"2000-02",94.47549
"2000-03",95.56889
"2000-04",95.30003
"2000-05",96.74789
"2000-06",97.07482
"2000-07",97.07964
"2000-08",98.06388
"2000-09",98.02509
"2000-10",98.24232
"2000-11",98.23483
"2000-12",98.33275
"2001-01",95.81635
"2001-02",95.59109
"2001-03",94.86742
"2001-04",95.18793
"2001-05",95.31527
"2001-06",94.37704
"2001-07",93.06293
"2001-08",93.55573
"2001-09",92.12149
"2001-10",92.39517
"2001-11",92.47891
"2001-12",90.67709
"2002-01",93.86606
"2002-02",95.13469
"2002-03",94.98006
"2002-04",96.33563
"2002-05",96.27758
"2002-06",95.59003
"2002-07",96.58176
"2002-08",96.38245
"2002-09",95.50495
"2002-10",96.15184
"2002-11",95.54668
"2002-12",94.47977
"2003-01",95.51619
"2003-02",95.66868
"2003-03",95.31527
"2003-04",94.97176
"2003-05",95.03249
"2003-06",94.58572
"2003-07",95.62079
"2003-08",94.33611
"2003-09",96.21364
"2003-10",96.7562
"2003-11",96.83618
"2003-12",97.03068
"2004-01",96.62965
"2004-02",96.29684
"2004-03",97.47398
"2004-04",97.29607
"2004-05",96.87926
"2004-06",98.2953
"2004-07",97.63048
"2004-08",98.15672
"2004-09",98.65192
"2004-10",98.55774
"2004-11",98.56844
"2004-12",98.62275
"2005-01",99.89058
"2005-02",98.88226
"2005-03",97.85333
"2005-04",99.09227
"2005-05",99.93151
"2005-06",99.27125
"2005-07",99.55857
